country,sex,year,ASIRsmooth
Ecuador,1,1990,2.194312356
Ecuador,1,1991,2.095131739
Ecuador,1,1992,2.247738355
Ecuador,1,1993,2.43695567
Ecuador,1,1994,2.505555866
Ecuador,1,1995,2.507560407
Ecuador,1,1996,2.271036881
Ecuador,1,1997,2.01309893
Ecuador,1,1998,1.788085315
Ecuador,1,1999,1.661909668
Ecuador,1,2000,1.866947912
Ecuador,1,2001,2.19376947
Ecuador,1,2002,2.654123795
Ecuador,1,2003,3.144500813
Ecuador,1,2004,3.550548447
Ecuador,1,2005,3.897412521
Ecuador,1,2006,3.994403943
Ecuador,1,2007,4.075764544
Ecuador,1,2008,4.113974218
Ecuador,1,2009,4.316322337
Ecuador,1,2010,5.165701195
Ecuador,1,2011,6.192408303
Ecuador,1,2012,7.18487536
Ecuador,1,2013,8.153610731
Ecuador,1,2014,9.028969669
Ecuador,1,2015,9.87568428
Ecuador,1,2016,10.64230287
Ecuador,1,2017,11.35390541
Estonia,1,1983,0.466492916
Estonia,1,1984,0.529587575
Estonia,1,1985,0.583100284
Estonia,1,1986,0.629327529
Estonia,1,1987,0.672250634
Estonia,1,1988,0.71469728
Estonia,1,1989,0.754369729
Estonia,1,1990,0.771720945
Estonia,1,1991,0.790980075
Estonia,1,1992,0.855943694
Estonia,1,1993,0.938029238
Estonia,1,1994,1.041247774
Estonia,1,1995,1.130772628
Estonia,1,1996,1.203220793
Estonia,1,1997,1.261234166
Estonia,1,1998,1.299305939
Estonia,1,1999,1.233563118
Estonia,1,2000,1.159749941
Estonia,1,2001,1.094959706
Estonia,1,2002,1.069223991
Estonia,1,2003,1.165943785
Estonia,1,2004,1.397397466
Estonia,1,2005,1.664752308
Estonia,1,2006,1.973451303
Estonia,1,2007,2.232736773
Estonia,1,2008,2.250396405
Estonia,1,2009,2.198241543
Estonia,1,2010,2.02712348
Estonia,1,2011,1.835985274
Estonia,1,2012,1.773385355
Estonia,1,2013,1.718686899
Estonia,1,2014,1.651705354
Estonia,1,2015,1.592679915
Estonia,1,2016,1.54442721
Estonia,1,2017,1.503054978
France,1,1998,2.728082782
France,1,1999,2.887480024
France,1,2000,3.069766493
France,1,2001,3.266309707
France,1,2002,3.463297788
France,1,2003,3.521694164
France,1,2004,3.618446723
France,1,2005,3.849176363
France,1,2006,4.060026463
France,1,2007,4.239327574
France,1,2008,4.291437125
France,1,2009,4.313248918
France,1,2010,4.31565722
France,1,2011,4.333087705
France,1,2012,4.389598021
France,1,2013,4.517271386
France,1,2014,4.71760271
France,1,2015,4.755167178
France,1,2016,4.648478902
France,1,2017,4.384385876
Germany,1,2003,1.414681222
Germany,1,2004,1.507565698
Germany,1,2005,1.600328013
Germany,1,2006,1.651283975
Germany,1,2007,1.753568109
Germany,1,2008,2.013686683
Germany,1,2009,2.22183129
Germany,1,2010,2.28110861
Germany,1,2011,2.057820082
Germany,1,2012,2.003536674
Germany,1,2013,2.308454744
Germany,1,2014,2.520851372
Germany,1,2015,2.507304123
Germany,1,2016,2.712566817
Germany,1,2017,3.075717166
Iceland,1,1980,4.789634925
Iceland,1,1981,5.303957763
Iceland,1,1982,5.695419281
Iceland,1,1983,5.95174335
Iceland,1,1984,6.113104439
Iceland,1,1985,6.09543598
Iceland,1,1986,5.906601613
Iceland,1,1987,5.743560708
Iceland,1,1988,5.880679398
Iceland,1,1989,5.973908829
Iceland,1,1990,5.676971955
Iceland,1,1991,5.248740266
Iceland,1,1992,4.866273471
Iceland,1,1993,4.376647027
Iceland,1,1994,3.934896196
Iceland,1,1995,3.977536414
Iceland,1,1996,4.124463404
Iceland,1,1997,4.188127011
Iceland,1,1998,4.293043011
Iceland,1,1999,4.435329243
Iceland,1,2000,4.613599248
Iceland,1,2001,4.713765313
Iceland,1,2002,4.814395465
Iceland,1,2003,4.812109873
Iceland,1,2004,4.365397876
Iceland,1,2005,3.671770776
Iceland,1,2006,3.152752019
